label,letter_image_path,letter_sound_path,object_image_path,object_sound_path,object_letter_image_path
alif,alif/alif-01.png,alif/alif.m4a,alif/anaar.png,alif/alif_anaar.m4a,alif/alif_anaar.png
alif mad aa,alif mad aa/alif mad aa-01.png,alif mad aa/alif mad aa.m4a,alif mad aa/aam.png,alif mad aa/alif mad aa_aam.m4a,alif mad aa/alif mad aa_aam.png
ayn,ayn/ayn-01.png,ayn/ayn.m4a,ayn/aynak.png,ayn/ayn_aynak.m4a,ayn/ayn_aynak.png
baa,baa/baa-01.png,baa/baa.m4a,baa/battakh1.png,baa/baa_battakh.m4a,baa/baa_battakh.png
bari yaa,bari yaa/bari yaa-01.png,bari yaa/bari yaa.m4a,bari yaa/yakka.png,bari yaa/bari yaa_yakka.m4a,bari yaa/bari yaa_yakka.png
cheey,cheey/cheey-01.png,cheey/cheey.m4a,cheey/chabi.png,cheey/cheey_chabi.m4a,cheey/cheey_chabi.png
choti yaa,choti yaa/choti yaa-01.png,choti yaa/choti yaa.m4a,choti yaa/yakka.png,choti yaa/choti yaa_yakka.m4a,choti yaa/choti yaa_yakka.png
daal,daal/daal-01.png,daal/daal.m4a,daal/darakht.png,daal/daal_darakht.m4a,daal/daal_darakht.png
dhaal,dhaal/dhaal-01.png,dhaal/dhaal.m4a,dhaal/dhool.png,dhaal/dhaal_dhool.m4a,dhaal/dhaal_dhool.png
faa,faa/faa-01.png,faa/faa.m4a,faa/fawwara.png,faa/faa_fawwara.m4a,faa/faa_fawwara.png
gaaf,gaaf/gaaf-01.png,gaaf/gaaf.m4a,gaaf/gaari.png,gaaf/gaaf_gaari.m4a,gaaf/gaaf_gaari.png
ghain,ghain/ghain-01.png,ghain/ghain.m4a,ghain/ghubara.png,ghain/ghain_ghuabra.m4a,ghain/ghain_ghuabra.png
haa1,haa1/haa1-01.png,haa1/haa1.m4a,haa1/huqqa.jpg,haa1/haa1_huqqa.m4a,haa1/haa1_huqqa.png
haa2,haa2/haa2-01.png,haa2/haa2.m4a,haa2/haathi.png,haa2/haa2_haathi.m4a,haa2/haa2_haathi.png
haa3,haa3/haa3-01.png,haa3/haa3.m4a,haa3/haathi.png,haa3/haa3_haathi.m4a,haa3/haa3_haathi.png
Hamza,hamza/hamza-01.png,hamza/hamza.m4a,hamza/gaye.jpg,hamza/hamza_gaye.m4a,hamza/hamza_gaye.png
jeem,jeem/jeem-01.png,jeem/jeem.m4a,jeem/jahaz.png,jeem/jeem_jahaz.m4a,jeem/jeem_jahaz.png
kaaf,kaaf/kaaf-01.png,kaaf/kaaf.m4a,kaaf/kutta.jpg,kaaf/kaaf_kutta.m4a,kaaf/kaaf_kutta.png
khaa,khaa/khaa-01.png,khaa/khaa.m4a,khaa/khargosh.jpg,khaa/khaa_khargosh.m4a,khaa/khaa_khargosh.png
laam,laam/laam-01.png,laam/laam.m4a,laam/lomri.jpg,laam/laam_lomri.m4a,laam/laam_lomri.png
meem,meem/meem-01.png,meem/meem.m4a,meem/moor.jpg,meem/meem_moor.m4a,meem/meem_moor.png
noon,noon/noon-01.png,noon/noon.m4a,noon/nakhun.png,noon/noon_nakhun.m4a,noon/noon_nakhun.png
noonghunna,noonghunna/noonghunna-01.png,noonghunna/noonghunna.m4a,noonghunna/ankhein.jpg,noonghunna/noonghunna_ankhein.m4a,noonghunna/noonghunna_ankhein.png
paa,paa/paa-01.png,paa/paa.m4a,paa/paatang.png,paa/paa_patang.m4a,paa/paa_patang.png
qaaf,qaaf/qaaf-01.png,qaaf/qaaf.m4a,qaaf/qainchi.png,qaaf/qaaf_qainchi.m4a,qaaf/qaaf_qainchi.png
raa,raa/raa-01.png,raa/raa.m4a,raa/rickshaw.jpg,raa/raa_rickshaw.m4a,raa/raa_rickshaw.png
rhraa,rhraa/rhraa-01.png,rhraa/rhraa.m4a,rhraa/pahaar.png,rhraa/rhraa_pahaar.m4a,rhraa/rhraa_pahaar.png
seen,seen/seen-01.png,seen/seen.m4a,seen/saanp.jpg,seen/seen_saanp.m4a,seen/seen_saanp.png
seey,seey/seey-01.png,seey/seey.m4a,seey/samar.jpg,seey/seey_samar.m4a,seey/seey_samar.png
sheen,sheen/sheen-01.png,sheen/sheen.m4a,sheen/shair.jpg,sheen/sheen_shair.m4a,sheen/sheen_shair.png
swaad,swaad/swaad-01.png,swaad/swaad.m4a,swaad/saabun.png,swaad/swaad_saabun.m4a,swaad/swaad_saabun.png
taa,taa/taa-01.png,taa/taa.m4a,taa/titli.png,taa/taa_titli.m4a,taa/taa_titli.png
ttaa,ttaa/ttaa-01.png,ttaa/ttaa.m4a,ttaa/topi.png,ttaa/ttaa_topi.m4a,ttaa/ttaa_topi.png
Twaa,twaa/twaa-01.png,twaa/twaa.m4a,twaa/touta.jpg,twaa/twaa_touta.m4a,twaa/twaa_touta.png
waw,waw/waw-01.png,waw/waw.m4a,waw/warq.jpg,waw/waw_warq.m4a,waw/waw_warq.png
zaaa,zaaa/zaaa-01.png,zaaa/zaaa.m4a,zaaa/zebra.jpg,zaaa/zaaa_zebra.m4a,zaaa/zaaa_zebra.png
zaal,zaal/zaal-01.png,zaal/zaal.m4a,zaal/zakheera.png,zaal/zaal_zakheera.m4a,zaal/zaal_zakheera.png
zhaa,zhaa/zhaa-01.png,zhaa/zhaa.m4a,zhaa/zhaala.png,zhaa/zhaa_zhaala.m4a,zhaa/zhaa_zhaala.png
zwaa,zwaa/zwaa-01.png,zwaa/zwaa.m4a,zwaa/zaroof.png,zwaa/zwaa_zaroof.m4a,zwaa/zwaa_zaroof.png
zwaad,zwaad/zwaad-01.png,zwaad/zwaad.m4a,zwaad/zaeef.png,zwaad/zwaad_zaeef.m4a,zwaad/zwaad_zaeef.png
